"origin_id","dest_id","tons","ton_miles","distance_miles","commodity_group","scenario_id"
"279","380",5489.882231,2140.93389,170.921126126613,"food_sctg_01_08","REGIONALIZED"
"019","019",14937.617536,2064.268519,72.9009118338696,"food_sctg_01_08","REGIONALIZED"
"300","160",4718.904139,2011.959803,176.452859392362,"food_sctg_01_08","REGIONALIZED"
"069","061",8693.927863,2011.530989,108.592743418419,"food_sctg_01_08","REGIONALIZED"
"460","319",5995.66112,1920.337752,170.816255622533,"food_sctg_01_08","REGIONALIZED"
"171","179",8958.773518,1887.310043,75,"food_sctg_01_08","REGIONALIZED"
"460","380",5363.144828,1859.016576,175,"food_sctg_01_08","REGIONALIZED"
"460","190",5079.837248,1841.778049,166.770703792438,"food_sctg_01_08","REGIONALIZED"
"419","419",9223.142342,1836.94016,75.0000047055546,"food_sctg_01_08","REGIONALIZED"
"519","519",14210.394356,1811.485732,73.820334733151,"food_sctg_01_08","REGIONALIZED"
"061","061",46211.842289,1798.117395,25,"food_sctg_01_08","REGIONALIZED"
"269","559",4579.60689,1791.530488,174.918859214573,"food_sctg_01_08","REGIONALIZED"
"479","479",11054.092177,1664.90589,73.6703503901856,"food_sctg_01_08","REGIONALIZED"
"279","559",5598.42454,1547.445735,146.573367781787,"food_sctg_01_08","REGIONALIZED"
"486","489",4997.804571,1513.55979,147.895395252941,"food_sctg_01_08","REGIONALIZED"
"489","484",5713.498998,1478.757837,115.259225000393,"food_sctg_01_08","REGIONALIZED"
"380","271",3584.336923,1419.636737,175,"food_sctg_01_08","REGIONALIZED"
"484","489",5048.952573,1418.146278,124.442840428915,"food_sctg_01_08","REGIONALIZED"
"409","202",5806.88137,1390.674978,75,"food_sctg_01_08","REGIONALIZED"
"311","319",7695.888513,1386.103288,75,"food_sctg_01_08","REGIONALIZED"
"160","300",3014.265867,1361.691425,295.017600026786,"food_sctg_01_08","REGIONALIZED"
"190","179",4370.836262,1325.237006,131.057532932585,"food_sctg_01_08","REGIONALIZED"
"380","460",3969.073677,1295.263345,166.09815965253,"food_sctg_01_08","REGIONALIZED"
